No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Setup,Load Alpine with a deferred script,The defer attribute ensures Alpine runs after the DOM is parsed so it can initialize components.,Include the CDN build with defer in the head.,"Load the script without defer, so Alpine runs before the DOM exists.","<script defer src=""https://cdn.jsdelivr.net/npm/[email protected]/dist/cdn.min.js""></script>","<script src=""https://cdn.jsdelivr.net/npm/alpinejs""></script>",High,https://alpinejs.dev/essentials/state
2,State,Start every component with x-data,x-data marks HTML as an Alpine component and is required on a parent for most directives to work.,Declare reactive state in an x-data object on a parent element.,"Use x-on, x-bind, x-model or x-show without an ancestor x-data.","<div x-data=""{ open: false }""><button @click=""open = !open"">Toggle</button></div>","<div><button @click=""open = !open"">Toggle</button></div>",High,https://alpinejs.dev/directives/data
3,State,Reference component state with this inside x-data,"Methods and getters run as plain JavaScript, so component properties must be reached through this.",Use this.property inside methods and getters.,Reference bare property names inside x-data methods.,"<div x-data=""{ open:false, toggle(){ this.open = !this.open } }"">","<div x-data=""{ open:false, toggle(){ open = !open } }"">",High,https://alpinejs.dev/directives/data
4,State,Put a single element's state on the element itself,"When a component is just one element, declaring x-data directly avoids an unnecessary wrapper.",Declare x-data on the single element it applies to.,Wrap a lone element in an extra div just to hold x-data.,"<button x-data=""{ open:true }"" @click=""open=false"" x-show=""open"">Hide Me</button>","<div x-data=""{ open:true }""><button @click=""open=false"" x-show=""open"">Hide Me</button></div>",Low,https://alpinejs.dev/directives/data
5,State,Opt out of an expression for behavior-only components,Alpine allows x-data with no value when you need component behavior but no reactive data.,"Use bare x-data (or x-data=""{}"") when there is no state.",Invent unused state just to satisfy x-data.,"<button x-data @click=""alert('clicked')"">Click Me</button>","<button x-data=""{ unused:0 }"" @click=""alert('clicked')"">Click Me</button>",Low,https://alpinejs.dev/essentials/state
6,Components,Extract repeated markup before reaching for JS,"Alpine's first recommendation for reused components is a server-side template partial, then Alpine.data().",Extract repeated blocks into a backend partial or Alpine.data().,Copy-paste large inline x-data objects across many elements.,"Alpine.data('dropdown', () => ({ open:false, toggle(){ this.open=!this.open } }))","<div x-data=""{ open:false, toggle(){/*...*/} }""> <!-- duplicated many times -->",Medium,https://alpinejs.dev/essentials/state
7,Components,Register reusable data on alpine:init,Alpine.data() components must be registered before Alpine initializes the DOM.,Register Alpine.data() inside the alpine:init event listener.,Register components after Alpine has already booted.,"document.addEventListener('alpine:init', () => { Alpine.data('dropdown', () => ({ open:false })) })","Alpine.data('dropdown', () => ({ open:false })) // ran too late",High,https://alpinejs.dev/directives/data
8,Components,Bind an object of directives with x-bind,"x-bind can apply a named set of directives to an element, keeping complex behavior in JS.",Return a directive object from Alpine.data() and apply it with x-bind.,Scatter many inline directives when they belong to a reusable component.,"<button x-bind=""trigger"">Open</button>","<button x-ref=""trigger"" @click=""open=true"" x-transition ...>Open</button>",Low,https://alpinejs.dev/directives/bind
9,Reactivity,Use getters for derived state,JS getters expose computed values as plain properties for a more expressive syntax.,Define get filteredItems() and read it like a property.,Recompute the same derived value inline in multiple directives.,"<div x-data=""{ items:[], search:'', get filtered(){ return this.items.filter(i=>i.startsWith(this.search)) } }"">","<template x-for=""i in items.filter(i=>i.startsWith(search))"">",Medium,https://alpinejs.dev/essentials/state
10,Reactivity,Avoid expensive work in frequently-read getters,"Alpine getters are not cached like Vue computed properties, so they run on every read.","Keep getters cheap, or memoize costly derivations elsewhere.",Do heavy computation in a getter read by many directives.,"<div x-data=""{ get isOpen(){ return this.open } }"">","<div x-data=""{ get sorted(){ return this.huge.slice().sort(expensive) } }"">",Medium,https://alpinejs.dev/directives/data
