No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Wrap components in component$,The trailing $ lets the Optimizer code-split the component into an independently lazy-loadable chunk.,Declare components with component$ so Qwik lazy-loads children automatically.,Reference plain component functions that force the bundler to include the whole tree.,"export default component$(() => {
  return <div>Hello World!</div>;
});","export default function App() {
  return <div>Hello World!</div>;
}",High,https://qwik.dev/docs/components/overview/
2,Components,Use export default for entry files,"Route and root entry files (index.tsx, layout.tsx, root.tsx) must be default exports.","Default-export index.tsx, layout.tsx, and root.tsx; use named exports for other components.",Use named exports for route entry files.,"// index.tsx
export default component$(() => <Home />);","// index.tsx
export const Index = component$(() => <Home />);",Medium,https://qwik.dev/docs/components/overview/
3,Components,Do not attach dot-notation properties to components,Assigning properties to a component$ (Scene.Title = Title) does not work; use barrel or namespace exports.,Group related components with a barrel file or namespace export.,Attach sub-components as properties on a component$.,"// components/scene/index.ts
export { SceneTitle as Title } from './scene-title';",Scene.Title = Title; // won't work,Medium,https://qwik.dev/docs/components/overview/
4,Components,Keep component functions idempotent,A component may execute any number of times; renders are coalesced on requestAnimationFrame.,Write render logic with no side effects and never depend on execution count.,Trigger side effects or count executions inside the component body.,"export default component$(() => {
  return <div>{count.value}</div>;
});","let runs = 0;
export default component$(() => {
  runs++; // side effect on render
  return <div>{runs}</div>;
});",High,https://qwik.dev/docs/components/overview/
5,Components,Use inline components sparingly for lightweight markup,Inline components are plain functions bundled with the parent and cannot use hooks or Slot.,Use inline components only for small stateless markup pieces.,Call use* hooks or project Slot content inside an inline component.,"export const MyButton = (props: { text: string }) => {
  return <button>{props.text}</button>;
};","export const MyButton = (props) => {
  const s = useSignal(0); // not allowed inline
  return <button>{s.value}</button>;
};",Medium,https://qwik.dev/docs/components/overview/
6,Props,Pass signals to change primitive props from a parent,"Props are shallowly immutable, so primitives cannot be reassigned once passed.",Use a Signal prop to let a parent update a primitive value reactively.,Try to mutate a primitive prop directly in the child.,"interface ItemProps { price?: Signal<number>; }
export const Item = component$<ItemProps>((props) => {
  return <li>{props.price?.value}</li>;
});","export const Item = component$((props) => {
  props.price = 5; // primitive prop is immutable
  return <li />;
});",High,https://qwik.dev/docs/components/overview/
7,Props,Set default prop values with destructuring,JS destructuring defaults give props fallback values cleanly.,Destructure props with default values in the component signature.,Manually branch on undefined props throughout the body.,"export default component$<Props>(({enabled = true, placeholder = ''}) => {
  return <input disabled={!enabled} placeholder={placeholder} />;
});","export default component$<Props>((props) => {
  const enabled = props.enabled === undefined ? true : props.enabled;
  return <input disabled={!enabled} />;
});",Low,https://qwik.dev/docs/components/overview/
8,State,Prefer useSignal for single reactive values,useSignal holds one .value and re-renders dependents when it changes.,Use useSignal for a single reactive value like a counter.,Reach for useStore when a plain signal suffices.,"const count = useSignal(0);
return <button onClick$={() => count.value++}>{count.value}</button>;","const state = useStore({ count: 0 });
return <button onClick$={() => state.count++}>{state.count}</button>;",Low,https://qwik.dev/docs/components/state/
9,State,Pass signal.value to read-only children,"Children that only read a value should receive the value, not the whole signal.",Pass signal.value to a child that only needs to read it.,Pass the entire signal when the child only reads it.,return <Child isClosed={isClosedSig.value} />;,return <Child isClosed={isClosedSig} />;,Medium,https://qwik.dev/docs/components/state/
10,State,Keep a reference to the store object,Destructuring a store property and mutating it standalone breaks reactivity.,Mutate properties through the store reference.,Destructure a primitive out of the store and mutate the local copy.,"const store = useStore({ count: 0 });
store.count++; // reactive","let { count } = useStore({ count: 0 });
count++; // no update",High,https://qwik.dev/docs/components/state/
