No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Accessibility,Icon Button Labels,icon button aria-label accessible name,Web,Icon-only buttons must expose an accessible name,Add aria-label (or visually-hidden text) to icon-only buttons,Ship icon buttons with no accessible name,"<button aria-label=""Close""><svg aria-hidden=""true"">…</svg></button>",<button><svg>…</svg></button>,Critical
2,Accessibility,Form Control Labels,form input label for semantic,Web,Every input needs a programmatically associated label,Use <label for> tied to the input id (or wrap the input),Rely on placeholder text as the only label,"<label for=""email"">Email</label><input id=""email"" type=""email"">","<input type=""email"" placeholder=""Email"">",Critical
3,Accessibility,Semantic HTML & Roles,semantic html aria role button link,Web,Use native semantic elements before ARIA roles,Use <button>/<a>/<nav>/<main>; add role only when no native element fits,Use <div onclick> for interactive controls,"<button type=""button"" onclick=""save()"">Save</button>","<div class=""btn"" onclick=""save()"">Save</div>",High
4,Accessibility,Live Region Announcements,aria-live status announce dynamic,Web,Async status changes must be announced to screen readers,Put status/toasts in an aria-live region,Update content silently with no announcement,"<div aria-live=""polite"" id=""status""></div>","<div id=""status""></div>",Medium
5,Accessibility,Decorative Icons Hidden,aria-hidden decorative icon,Web,Decorative images/icons must be hidden from assistive tech,"Set aria-hidden=""true"" (or empty alt) on decorative graphics",Let the screen reader announce every decorative glyph,"<svg aria-hidden=""true"">…</svg> / <img alt="""">","<svg role=""img"">…</svg>",Medium
6,Accessibility,Keyboard Operability,keyboard tab focus operable no trap,Web,All interactive elements must be reachable and operable by keyboard,Ensure logical tab order and full keyboard support; no traps,Build controls that only respond to mouse/touch,<button>…</button>,"<div onclick=""…"">",Critical
7,Interaction,Focus Visible,focus outline focus-visible ring,Web,Keyboard focus must be clearly visible,Keep a visible :focus-visible ring (2–4px),Remove outlines with outline:none and no replacement,:focus-visible { outline: 2px solid var(--ring); },*:focus { outline: none; },Critical
8,Interaction,Click Target Size,click target 44px hit area,Web,Interactive targets should be at least 44x44px,Pad small controls so the hit area reaches ~44px,Ship tiny icon links with a small clickable area,"<button style=""min-width:44px;min-height:44px"">…</button>","<button style=""width:16px;height:16px"">…</button>",High
9,Interaction,Target Spacing,spacing gap adjacent targets,Web,Adjacent click targets need enough spacing,Keep at least 8px between adjacent interactive targets,Cram buttons/links together with no gap,"<div style=""display:flex;gap:8px""><button/><button/></div>",<div><button/><button/></div>,Medium
10,Interaction,Hover Is Not Enough,hover click touch keyboard,Web,Never gate primary actions behind hover alone,Trigger actions on click; treat hover as enhancement,Reveal the only action path on :hover (fails touch/keyboard),"<button onclick=""open()"">Menu</button>",.item .actions{display:none}.item:hover .actions{display:block},High
11,Navigation,History & Back,browser history back pushstate url,Web,Browser back/forward must work and reflect app state,Use real routes/History API and keep URLs shareable,Hijack or reset history so Back breaks,"history.pushState({}, '', '/orders/42')","location.hash=''; // wipes history, Back exits app",Critical
12,Navigation,Modal Focus & Escape,modal dialog focus trap escape,Web,"Modals need a close affordance, Esc, and focus management","Trap focus, close on Esc + button, restore focus on close","Open a modal with no Esc, no focus trap, no visible close","<dialog id=""m""><button aria-label=""Close"">×</button>…</dialog>","<div class=""modal"">{content}</div>",High
13,Navigation,Preserve State On Back,scroll restoration state url params,Web,Returning to a view should restore scroll and filter state,Persist filters in the URL; allow native scroll restoration,Reset scroll position and clear filters on every navigation,"const url=new URL(location); url.searchParams.set('sort','new')","// filters kept only in memory, lost on back",Medium
14,Feedback,Loading Indicators,loading skeleton spinner aria-busy,Web,Show visible feedback for operations over ~300ms,Use a skeleton/spinner and mark the region aria-busy,Freeze the UI with no loading indication,"<button aria-busy=""true"" disabled><span class=""spinner""></span> Saving…</button>","<button onclick=""save()"">Save</button>",High
15,Feedback,Success Feedback,toast confirmation aria-live,Web,"Confirm successful actions with brief, announced feedback",Show a toast/inline confirmation in an aria-live region,Complete actions silently,showToast('Saved'); // container is aria-live=polite,"// state updated silently, no confirmation",Medium
16,Feedback,Error Feedback Near Field,inline error aria-describedby,Web,Show errors next to the field and link them for a11y,Render inline error and reference it via aria-describedby,Only turn the border red with no message,"<input aria-invalid=""true"" aria-describedby=""e1""><p id=""e1"">Enter a valid email</p>","<input style=""border-color:red"">",High
17,Forms,Validate On Blur,form validation onblur submit,Web,"Validate on blur/submit, not on every keystroke",Validate onblur and on submit; focus first invalid field,Validate on every keystroke causing flicker,"input.addEventListener('blur', validate)","input.addEventListener('input', validateEveryKey)",Medium
18,Forms,Correct Input Types,input type email tel number url,Web,Use semantic input types for keyboard + validation,Use type=email/tel/number/url with inputmode as needed,Use type=text for everything,"<input type=""email"" inputmode=""email"">","<input type=""text"" name=""email"">",Medium
19,Forms,Autocomplete Attributes,autocomplete autofill name email,Web,Enable browser/password-manager autofill,"Set autocomplete tokens (email, name, current-password…)",Disable autocomplete on standard fields,"<input type=""password"" autocomplete=""current-password"">","<input type=""password"" autocomplete=""off"">",Medium
20,Forms,Password Visibility Toggle,password show hide toggle,Web,Let users reveal their password,Provide a show/hide toggle that flips type,Force blind typing with no reveal option,"<input id=""pw"" type=""password""><button aria-label=""Show password"" onclick=""pw.type='text'"">👁</button>","<input type=""password"">",Low
