No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Reactivity,Read signals inside a tracking scope,"Signals only notify subscribers when called within a tracking scope such as JSX, createEffect, or createMemo.",Access the signal getter inside JSX or an effect so updates propagate.,Read a signal outside any tracking scope and expect it to re-run on change.,createEffect(() => console.log(count()));,"console.log(count()); setCount(1); // not tracked, never re-runs",High,https://docs.solidjs.com/concepts/intro-to-reactivity
2,Reactivity,"Call signals as functions, never store the value","createSignal returns a getter function; you must call it to read the current, reactive value.","Invoke the getter, e.g. count(), everywhere you need the live value.",Read once into a plain variable and reuse it as if reactive.,<span>Count: {count()}</span>,const c = count(); <span>Count: {c}</span> // frozen value,High,https://docs.solidjs.com/concepts/signals
3,Reactivity,Keep reactive reads out of the component body top level,"Components run only once on init, so signals read directly in the body run once and never update.",Put signal reads in the JSX return or inside createEffect.,Read a signal at the top of the component and rely on it updating.,createEffect(() => console.log(count()));,console.log(count()); // runs once at init only,High,https://docs.solidjs.com/concepts/intro-to-reactivity
4,Signals,Create state with createSignal,"createSignal takes an initial value and returns a [getter, setter] pair via array destructuring.",Destructure the returned pair into a getter and setter.,Treat the return value as a plain value instead of a getter/setter pair.,"const [count, setCount] = createSignal(0);","const count = createSignal(0); // count is the pair, not the value",Medium,https://docs.solidjs.com/concepts/signals
5,Signals,Use the functional setter for derived updates,"The setter accepts a function receiving the previous value, which is safest when the new value depends on the old.",Pass prev => prev + 1 when updating based on current state.,Hardcode a value that ignores the latest state.,setCount((prev) => prev + 1);,setCount(count() + 1); // stale if batched,Medium,https://docs.solidjs.com/concepts/signals
6,Effects,"Reserve createEffect for side effects, not derived state","Effects are for actions outside the reactive system like DOM manipulation, data fetching, and subscriptions.",Use effects for I/O and external synchronization.,Compute a derived value inside an effect instead of a memo.,createEffect(() => { document.title = title(); });,createEffect(() => setDouble(count() * 2)); // use a memo,High,https://docs.solidjs.com/concepts/effects
7,Effects,Avoid setting signals inside effects,Writing signals from an effect can cause extra renders or infinite loops; compute values with createMemo instead.,Derive values with createMemo and keep effects side-effect only.,Set a signal in an effect that feeds back into its own dependencies.,const double = createMemo(() => count() * 2);,createEffect(() => setDouble(count() * 2));,High,https://docs.solidjs.com/concepts/effects
8,Effects,Let Solid auto-track dependencies,"Solid automatically tracks every signal read inside an effect, so manual dependency lists are unnecessary.",Read the signals you need directly inside the callback.,Try to declare or pass an explicit dependency array.,"createEffect(() => console.log(count(), message()));","createEffect(() => log(count()), [count]); // no dep arrays in Solid",Low,https://docs.solidjs.com/concepts/effects
9,Effects,Use onMount for once-only side effects,"onMount runs a callback a single time after mount without tracking, ideal for one-time API calls.",Wrap one-time fetches in onMount.,Rely on createEffect to run only once.,onMount(async () => setData(await fetch(url)));,createEffect(async () => setData(await fetch(url)));,Medium,https://docs.solidjs.com/concepts/effects
10,Effects,Clean up subscriptions with onCleanup,onCleanup runs on unmount to release timers and subscriptions and prevent memory leaks.,"Clear intervals, listeners, and subscriptions in onCleanup.",Leave a setInterval or subscription running after unmount.,"const t = setInterval(fn, 1000); onCleanup(() => clearInterval(t));","const t = setInterval(fn, 1000); // never cleared",Medium,https://docs.solidjs.com/concepts/effects
11,Derived Values,Prefer createMemo for expensive or reused derivations,"A derived signal re-runs on every access, while a memo caches and recomputes only when dependencies change.",Wrap expensive or multiply-used computations in createMemo.,Reuse a plain derived function many times for costly work.,const double = createMemo(() => count() * 2);,const double = () => expensive(count()); // recomputed each call,Medium,https://docs.solidjs.com/concepts/derived-values/memos
