No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Core,"Return HTML fragments, not JSON","htmx swaps server responses directly into the DOM, so endpoints should render HTML partials rather than data payloads.",Respond to hx-* requests with the HTML fragment to be swapped in.,Return JSON and rebuild the DOM with client-side JavaScript.,"<button hx-post=""/clicked"" hx-target=""#out"">Click</button>
<!-- server returns: <div id=""out"">Clicked!</div> -->","<button hx-post=""/clicked"">Click</button>
// server returns {""status"":""ok""}",High,https://htmx.org/docs/
2,Core,Point hx-target at the element to swap,hx-target directs the response into a specific element instead of the triggering element's innerHTML.,"Use a CSS selector or extended selector (this, closest, next, find) for hx-target.",Pepper the DOM with id attributes just to route every swap.,"<button hx-get=""/detail"" hx-target=""#detail"">View</button>","<button hx-get=""/detail"" hx-target=""#a1 #a2 #a3"">View</button>",Medium,https://htmx.org/docs/
3,Core,Prefer relative extended selectors over id soup,"Extended selectors like closest and next resolve targets relative to the element, avoiding scattered ids.","Use hx-target=""closest tr"" or next to locate the target contextually.",Add a unique id to every row or cell only to serve as a swap target.,"<button hx-delete=""/row/1"" hx-target=""closest tr"">Delete</button>","<button hx-delete=""/row/1"" hx-target=""#row-1-cell-2"">Delete</button>",Low,https://htmx.org/docs/
4,Swapping,Choose the swap style that matches the update,"hx-swap controls how content is placed relative to the target (innerHTML, outerHTML, beforeend, etc.).","Use outerHTML to replace the whole element, beforeend to append.","Assume the default innerHTML fits every case, replacing content you meant to keep.","<div hx-get=""/ex"" hx-swap=""outerHTML"">Replace me</div>","<div hx-get=""/ex"">Replace me</div> <!-- innerHTML wipes children unexpectedly -->",Medium,https://htmx.org/attributes/hx-swap/
5,Swapping,Time swaps to your CSS transitions,The swap:<time> and settle:<time> modifiers delay the swap/settle so animations can complete.,Add swap:1s to hold the old content while a fade-out transition runs.,Trigger CSS transitions but let htmx remove the element instantly.,"<button hx-delete=""/x"" hx-target=""closest tr"" hx-swap=""outerHTML swap:1s"">Del</button>","<button hx-delete=""/x"" hx-target=""closest tr"" hx-swap=""outerHTML"">Del</button>",Low,https://htmx.org/attributes/hx-swap/
6,Swapping,Keep element ids stable for CSS transitions,htmx only animates between old and new content when the element's id is preserved across swaps.,Reuse the same id on the swapped element so htmx can settle transitions.,Change or drop the id on each response and expect transitions to work.,"<div id=""score"" hx-get=""/score"" hx-trigger=""every 1s"">5</div>","<div hx-get=""/score"" hx-trigger=""every 1s"">5</div>",Low,https://htmx.org/docs/
7,Triggers,Debounce as-you-type requests with delay,"The delay modifier resets on each event, so requests only fire after the user pauses.",Use keyup changed delay:500ms for active search inputs.,Fire a request on every keystroke with no delay.,"<input name=""q"" hx-get=""/search"" hx-trigger=""keyup changed delay:500ms"" hx-target=""#results"">","<input name=""q"" hx-get=""/search"" hx-trigger=""keyup"" hx-target=""#results"">",Medium,https://htmx.org/attributes/hx-trigger/
8,Triggers,Use changed to skip no-op requests,The changed modifier only issues a request when the element's value actually changed.,Combine changed with keyup so arrow keys and modifiers don't fire requests.,Send a request even when the input value is identical.,"<input hx-get=""/v"" hx-trigger=""keyup changed delay:300ms"">","<input hx-get=""/v"" hx-trigger=""keyup delay:300ms"">",Low,https://htmx.org/attributes/hx-trigger/
9,Triggers,Throttle high-frequency events,"throttle ignores repeat events until the interval passes, unlike delay which resets the timer.",Use throttle:500ms for rapid events where you want a steady request cadence.,Use delay for a firehose event expecting it to rate-limit like throttle.,"<div hx-get=""/m"" hx-trigger=""mousemove throttle:500ms"">","<div hx-get=""/m"" hx-trigger=""mousemove"">",Medium,https://htmx.org/attributes/hx-trigger/
10,Triggers,Listen for events from other elements with from:,The from:<selector> modifier lets an element react to events fired elsewhere in the DOM.,Use from:body for global keyboard shortcuts or HX-Trigger header events.,Wrap unrelated elements just to co-locate a listener with its source.,"<div hx-get=""/shortcuts"" hx-trigger=""keyup[key=='/'] from:body""></div>","<div hx-get=""/shortcuts"" hx-trigger=""keyup[key=='/']""></div>",Low,https://htmx.org/attributes/hx-trigger/
11,Triggers,Add from:body to HX-Trigger header events,"Response-header-fired events dispatch in a different DOM hierarchy, so listeners need from:body.","Declare hx-trigger=""my-event from:body"" when firing via the HX-Trigger header.",Listen for an HX-Trigger header event on the local element only.,"<div hx-get=""/ex"" hx-trigger=""my-custom-event from:body""></div>","<div hx-get=""/ex"" hx-trigger=""my-custom-event""></div>",Medium,https://htmx.org/attributes/hx-trigger/
12,Out-of-band,Update other regions with hx-swap-oob,Out-of-band swaps match by id to update elements outside the main target in a single response.,"Mark extra fragments hx-swap-oob=""true"" to piggy-back updates on one request.",Fire separate requests for each region that changes together.,"<div id=""msg"" hx-swap-oob=""true"">Saved!</div>
<span>Main content</span>","<div id=""msg"">Saved!</div> <!-- extra request needed to update it -->",Medium,https://htmx.org/docs/
